device_id,device_name,ip_address,os,device_type,scan_date,vulnerability_id,cve_publish_date,plugin_id,cvss_score,risk_score,exploit_available,patch_available,compliance_issue,vulnerability_age
DVC-10386,host-603,192.168.189.50,Linux Ubuntu,Workstation,2024-09-24,CVE-2023-36944,2023-09-09,59090,9.0,1125.0,No,Yes,No,131
DVC-10391,host-510,192.168.235.13,macOS Ventura,Workstation,2024-12-31,CVE-2016-23123,2023-11-08,17221,3.8,190.0,No,Yes,Yes,33
DVC-10417,host-377,192.168.129.86,Linux Ubuntu,Workstation,2024-01-27,CVE-2023-24868,2023-07-23,69546,3.2,160.0,No,No,No,372
DVC-10112,host-481,192.168.75.45,Windows 10,Workstation,2024-12-20,CVE-2023-23003,2023-09-30,24450,9.3,1162.5,Yes,Yes,Yes,44
DVC-10203,host-132,192.168.70.39,Windows 10,Workstation,2024-04-07,CVE-2023-77201,2023-09-01,40848,4.2,315.0,No,Yes,Yes,301
DVC-10492,host-193,192.168.17.70,Linux RHEL,Server,2024-02-04,CVE-2020-49529,2023-04-14,11106,3.3,165.0,Yes,Yes,No,364
DVC-10104,host-724,192.168.97.64,Windows 10,Workstation,2024-04-03,CVE-2020-16797,2023-03-14,26060,6.0,450.0,No,Yes,Yes,305
DVC-10317,host-622,192.168.176.183,macOS Ventura,Workstation,2024-08-24,CVE-2021-56268,2023-11-21,72719,7.9,790.0,No,No,Yes,162
DVC-10020,host-543,192.168.170.16,Linux RHEL,Server,2024-12-20,CVE-2019-72718,2023-12-05,38085,1.4,70.0,Yes,No,No,44
DVC-10011,host-180,192.168.212.12,Windows 10,Workstation,2024-07-15,CVE-2022-68569,2023-09-27,75339,4.6,345.0,Yes,Yes,Yes,202
DVC-10296,host-120,192.168.228.196,Windows 10,Workstation,2024-12-29,CVE-2016-20839,2023-11-04,98458,5.0,375.0,No,No,No,35
DVC-10015,host-298,192.168.158.238,Windows Server 2019,Server,2024-06-24,CVE-2019-95700,2023-03-20,88873,5.3,397.5,No,Yes,No,223
DVC-10088,host-943,192.168.98.94,Windows 10,Workstation,2024-02-19,CVE-2016-77008,2023-07-24,72466,5.3,397.5,Yes,Yes,Yes,349
DVC-10457,host-683,192.168.192.199,Windows Server 2019,Server,2024-11-14,CVE-2020-82029,2023-09-15,62531,4.8,360.0,Yes,Yes,No,80
DVC-10283,host-376,192.168.245.224,macOS Ventura,Workstation,2024-02-15,CVE-2022-17293,2023-07-19,68279,2.7,135.0,Yes,No,Yes,353
DVC-10367,host-421,192.168.227.142,Linux Ubuntu,Workstation,2024-12-06,CVE-2022-17293,2023-07-19,68279,2.7,135.0,Yes,No,Yes,58
DVC-10045,host-482,192.168.52.18,Windows Server 2019,Server,2024-01-06,CVE-2022-48714,2023-07-28,59642,1.1,55.0,No,No,No,393
DVC-10060,host-559,192.168.186.157,Windows 10,Workstation,2024-08-15,CVE-2020-82029,2023-09-15,62531,4.8,360.0,No,No,No,171
DVC-10456,host-660,192.168.97.251,Linux RHEL,Server,2024-07-06,CVE-2016-62977,2023-02-05,70358,4.3,322.5,No,No,Yes,211
DVC-10014,host-875,192.168.251.144,macOS Ventura,Workstation,2024-11-25,CVE-2019-38265,2023-01-02,36059,3.6,180.0,No,Yes,No,69
DVC-10382,host-567,192.168.250.124,Linux RHEL,Server,2024-04-10,CVE-2018-5251,2023-07-09,24418,6.9,517.5,Yes,Yes,No,298
DVC-10342,host-110,192.168.30.46,Windows 10,Workstation,2024-05-22,CVE-2023-58320,2023-09-07,91512,2.6,130.0,No,Yes,Yes,256
DVC-10292,host-554,192.168.121.235,Windows 10,Workstation,2024-12-12,CVE-2016-23123,2023-11-08,17221,3.8,190.0,No,Yes,No,52
DVC-10405,host-415,192.168.54.10,Linux RHEL,Server,2024-07-12,CVE-2021-56268,2023-11-21,72719,7.9,790.0,No,Yes,No,205
DVC-10479,host-774,192.168.162.221,Windows Server 2019,Server,2024-04-19,CVE-2020-72452,2023-09-30,11551,1.4,70.0,No,No,No,289
DVC-10155,host-267,192.168.217.5,Windows 10,Workstation,2024-08-10,CVE-2016-11500,2023-02-27,38667,3.9,195.0,No,No,Yes,176
DVC-10244,host-232,192.168.179.162,Linux RHEL,Server,2024-08-04,CVE-2021-31825,2023-10-21,10602,5.3,397.5,Yes,No,No,182
DVC-10233,host-231,192.168.42.241,Linux RHEL,Server,2024-08-26,CVE-2015-22076,2023-06-21,16063,7.1,710.0,No,No,No,160
DVC-10498,host-552,192.168.114.55,macOS Ventura,Workstation,2024-08-19,CVE-2024-81679,2023-09-04,47033,8.8,880.0,No,No,No,167
DVC-10121,host-402,192.168.126.64,Windows Server 2019,Server,2024-10-30,CVE-2024-66733,2023-08-07,20972,9.4,1175.0,Yes,No,Yes,95
DVC-10252,host-142,192.168.197.80,Linux RHEL,Server,2024-06-21,CVE-2023-23003,2023-09-30,24450,9.3,1162.5,Yes,No,No,226
DVC-10495,host-143,192.168.41.44,macOS Ventura,Workstation,2024-12-24,CVE-2015-86324,2023-07-31,15846,1.2,60.0,No,Yes,No,40
DVC-10250,host-573,192.168.191.208,Linux RHEL,Server,2024-04-16,CVE-2017-53063,2023-12-03,61140,7.7,770.0,No,No,Yes,292
DVC-10451,host-478,192.168.221.18,Linux RHEL,Server,2024-04-04,CVE-2020-49529,2023-04-14,11106,3.3,165.0,No,Yes,No,304
DVC-10243,host-609,192.168.213.28,Windows 10,Workstation,2024-09-12,CVE-2015-16433,2023-05-26,19680,9.1,1137.5,No,Yes,No,143
DVC-10161,host-535,192.168.177.106,Linux RHEL,Server,2024-11-22,CVE-2023-1049,2023-03-18,65129,5.8,435.0,Yes,No,No,72
DVC-10315,host-798,192.168.38.148,Windows Server 2019,Server,2024-06-21,CVE-2023-41909,2023-07-14,61629,1.6,80.0,Yes,No,Yes,226
DVC-10394,host-490,192.168.189.233,Windows Server 2019,Server,2024-08-10,CVE-2019-94672,2023-02-20,65175,2.0,100.0,No,No,No,176
DVC-10211,host-928,192.168.166.242,Windows 10,Workstation,2024-06-04,CVE-2016-97194,2023-02-28,84789,1.5,75.0,No,No,No,243
DVC-10137,host-444,192.168.49.171,Windows 10,Workstation,2024-05-12,CVE-2016-43525,2023-01-28,74762,1.7,85.0,No,No,No,266
DVC-10110,host-437,192.168.114.128,macOS Ventura,Workstation,2024-06-02,CVE-2018-93681,2023-03-30,40243,7.0,700.0,Yes,No,Yes,245
DVC-10215,host-729,192.168.199.167,Linux RHEL,Server,2024-07-09,CVE-2016-79262,2023-01-15,98252,0.4,20.0,No,No,No,208
DVC-10455,host-815,192.168.59.232,Windows Server 2019,Server,2024-09-27,CVE-2020-16797,2023-03-14,26060,6.0,450.0,Yes,No,Yes,128
DVC-10438,host-339,192.168.230.168,macOS Ventura,Workstation,2024-01-21,CVE-2015-16433,2023-05-26,19680,9.1,1137.5,Yes,No,Yes,378
DVC-10132,host-774,192.168.62.138,Linux RHEL,Server,2024-08-03,CVE-2023-64127,2023-02-06,54667,2.2,110.0,Yes,Yes,Yes,183
DVC-10107,host-421,192.168.213.92,Windows 10,Workstation,2024-09-29,CVE-2017-3747,2023-12-19,90013,2.5,125.0,Yes,Yes,No,126
DVC-10379,host-157,192.168.30.39,Windows Server 2019,Server,2024-02-23,CVE-2017-3747,2023-12-19,90013,2.5,125.0,No,No,No,345
DVC-10169,host-979,192.168.123.131,Windows 10,Workstation,2024-08-11,CVE-2020-61797,2023-05-22,71657,5.6,420.0,Yes,No,No,175
DVC-10415,host-678,192.168.232.114,Windows 10,Workstation,2024-04-23,CVE-2022-94719,2023-11-11,52321,0.3,15.0,Yes,Yes,Yes,285
DVC-10092,host-869,192.168.154.180,Windows Server 2019,Server,2024-07-10,CVE-2016-99767,2023-12-19,51663,1.7,85.0,No,Yes,No,207
DVC-10356,host-842,192.168.156.105,Linux Ubuntu,Workstation,2024-11-30,CVE-2022-22071,2023-10-06,44456,4.2,315.0,No,No,Yes,64
DVC-10203,host-132,192.168.70.39,Windows 10,Workstation,2024-08-08,CVE-2020-85643,2023-10-08,82570,8.0,800.0,No,Yes,Yes,178
DVC-10200,host-160,192.168.10.153,Linux Ubuntu,Workstation,2024-03-09,CVE-2023-90613,2023-03-28,26407,5.0,375.0,Yes,No,No,330
DVC-10220,host-591,192.168.2.249,macOS Ventura,Workstation,2024-02-13,CVE-2024-35593,2023-10-03,66098,8.2,820.0,Yes,No,Yes,355
DVC-10042,host-415,192.168.59.24,Linux Ubuntu,Workstation,2024-10-10,CVE-2016-49167,2023-09-20,90579,4.4,330.0,No,Yes,No,115
DVC-10047,host-274,192.168.108.251,Windows Server 2019,Server,2024-01-20,CVE-2017-12442,2023-06-09,48269,8.1,810.0,Yes,Yes,No,379
DVC-10376,host-602,192.168.9.236,Linux Ubuntu,Workstation,2024-11-16,CVE-2022-6258,2023-02-27,39885,3.1,155.0,Yes,No,No,78
DVC-10434,host-861,192.168.134.61,macOS Ventura,Workstation,2024-08-13,CVE-2024-89091,2023-12-03,66592,4.5,337.5,No,Yes,Yes,173
DVC-10344,host-523,192.168.100.61,macOS Ventura,Workstation,2024-10-22,CVE-2019-85592,2023-10-21,12698,0.4,20.0,No,Yes,Yes,103
DVC-10473,host-443,192.168.73.115,Linux RHEL,Server,2024-02-29,CVE-2020-49529,2023-04-14,11106,3.3,165.0,No,Yes,Yes,339
DVC-10192,host-916,192.168.51.76,macOS Ventura,Workstation,2024-11-24,CVE-2021-17257,2023-08-29,59507,1.2,60.0,Yes,Yes,Yes,70
DVC-10097,host-225,192.168.84.35,Windows Server 2019,Server,2024-04-03,CVE-2020-60267,2023-02-04,74606,4.7,352.5,Yes,No,No,305
DVC-10407,host-759,192.168.223.106,Windows 10,Workstation,2024-06-10,CVE-2021-91540,2023-12-02,84975,8.8,880.0,Yes,No,No,237
DVC-10157,host-277,192.168.107.146,Linux Ubuntu,Workstation,2024-02-02,CVE-2022-65568,2023-07-09,41438,1.0,50.0,No,No,Yes,366
DVC-10457,host-683,192.168.192.199,Windows Server 2019,Server,2024-04-08,CVE-2023-64924,2023-08-06,41615,9.6,1200.0,Yes,No,No,300
DVC-10101,host-278,192.168.91.201,Windows Server 2019,Server,2024-06-28,CVE-2022-16528,2023-12-19,40896,9.7,1212.5,Yes,No,Yes,219
DVC-10047,host-274,192.168.108.251,Windows Server 2019,Server,2024-01-25,CVE-2018-64152,2023-04-19,20806,3.0,150.0,No,No,No,374
DVC-10017,host-479,192.168.185.32,Linux RHEL,Server,2024-05-20,CVE-2020-97913,2023-10-21,46714,4.6,345.0,Yes,No,No,258
DVC-10467,host-268,192.168.81.87,macOS Ventura,Workstation,2024-05-18,CVE-2016-82287,2023-03-15,34262,4.2,315.0,No,No,Yes,260
DVC-10431,host-371,192.168.247.188,Windows 10,Workstation,2024-08-10,CVE-2019-43640,2023-04-09,37464,6.8,510.0,Yes,Yes,Yes,176
DVC-10402,host-224,192.168.69.73,macOS Ventura,Workstation,2024-06-21,CVE-2023-46108,2023-08-29,15750,8.6,860.0,Yes,No,Yes,226
DVC-10340,host-585,192.168.208.246,macOS Ventura,Workstation,2024-01-02,CVE-2024-61577,2023-05-23,75501,7.1,710.0,Yes,Yes,Yes,397
DVC-10270,host-199,192.168.189.76,Linux Ubuntu,Workstation,2024-08-02,CVE-2021-91685,2023-06-07,47352,6.3,472.5,No,Yes,No,184
DVC-10465,host-106,192.168.88.219,Windows 10,Workstation,2024-04-10,CVE-2024-95050,2023-09-23,18099,2.6,130.0,Yes,No,No,298
DVC-10203,host-132,192.168.70.39,Windows 10,Workstation,2024-07-05,CVE-2018-25777,2023-06-12,66923,6.0,450.0,No,Yes,Yes,212
DVC-10288,host-928,192.168.117.167,Linux RHEL,Server,2024-09-07,CVE-2024-34333,2023-06-28,60375,4.5,337.5,No,Yes,Yes,148
DVC-10082,host-495,192.168.29.91,Linux Ubuntu,Workstation,2024-03-17,CVE-2022-84844,2023-06-13,74900,3.5,175.0,Yes,No,No,322
DVC-10165,host-437,192.168.72.32,macOS Ventura,Workstation,2024-10-03,CVE-2018-86162,2023-10-11,69202,9.6,1200.0,No,Yes,No,122
DVC-10348,host-747,192.168.214.109,Windows 10,Workstation,2024-02-25,CVE-2022-12618,2023-08-28,31308,1.0,50.0,No,Yes,Yes,343
DVC-10306,host-513,192.168.79.78,Linux RHEL,Server,2024-03-26,CVE-2020-91339,2023-08-19,78211,7.1,710.0,No,Yes,Yes,313
DVC-10095,host-520,192.168.249.145,Linux Ubuntu,Workstation,2024-11-09,CVE-2016-36702,2023-05-06,75063,7.4,740.0,Yes,Yes,No,85
DVC-10344,host-523,192.168.100.61,macOS Ventura,Workstation,2024-03-13,CVE-2016-43525,2023-01-28,74762,1.7,85.0,No,Yes,Yes,326
DVC-10312,host-486,192.168.206.49,Windows Server 2019,Server,2024-08-17,CVE-2023-36944,2023-09-09,59090,9.0,1125.0,No,No,No,169
DVC-10056,host-440,192.168.235.40,Linux RHEL,Server,2024-04-24,CVE-2017-9444,2023-04-03,47856,8.6,860.0,Yes,Yes,No,284
DVC-10158,host-101,192.168.152.81,Windows Server 2019,Server,2024-10-16,CVE-2024-75063,2023-05-04,71429,8.7,870.0,No,No,No,109
DVC-10002,host-513,192.168.165.230,Windows Server 2019,Server,2024-07-07,CVE-2019-25998,2023-12-20,87779,9.1,1137.5,No,No,No,210
DVC-10260,host-967,192.168.100.21,Windows 10,Workstation,2024-10-12,CVE-2017-1879,2023-12-20,42909,3.0,150.0,No,Yes,No,113
DVC-10046,host-384,192.168.239.129,Linux Ubuntu,Workstation,2024-08-20,CVE-2021-22725,2023-10-14,71989,7.8,780.0,No,Yes,Yes,166
DVC-10065,host-790,192.168.1.33,Windows 10,Workstation,2024-07-10,CVE-2019-48374,2023-12-26,22723,8.7,870.0,Yes,Yes,Yes,207
DVC-10017,host-479,192.168.185.32,Linux RHEL,Server,2024-04-28,CVE-2020-52132,2023-12-17,84771,7.3,730.0,No,No,Yes,280
DVC-10078,host-716,192.168.39.143,Linux Ubuntu,Workstation,2024-11-13,CVE-2016-77008,2023-07-24,72466,5.3,397.5,No,Yes,Yes,81
DVC-10204,host-974,192.168.139.13,macOS Ventura,Workstation,2024-10-09,CVE-2022-17293,2023-07-19,68279,2.7,135.0,No,No,No,116
DVC-10336,host-664,192.168.235.1,macOS Ventura,Workstation,2024-12-14,CVE-2022-92034,2023-07-30,81413,6.3,472.5,Yes,No,Yes,50
DVC-10425,host-641,192.168.27.49,Windows 10,Workstation,2024-07-16,CVE-2020-68488,2023-05-18,23783,9.1,1137.5,No,No,No,201
DVC-10383,host-562,192.168.91.101,Windows Server 2019,Server,2024-06-30,CVE-2016-20839,2023-11-04,98458,5.0,375.0,Yes,No,No,217
DVC-10483,host-698,192.168.52.22,macOS Ventura,Workstation,2024-12-14,CVE-2017-13770,2023-08-30,27044,8.5,850.0,Yes,Yes,Yes,50
DVC-10474,host-433,192.168.22.14,Linux RHEL,Server,2024-04-10,CVE-2023-10441,2023-09-30,87375,9.3,1162.5,No,No,Yes,298
DVC-10183,host-427,192.168.18.73,Windows 10,Workstation,2024-01-26,CVE-2022-34455,2023-08-12,70641,4.4,330.0,Yes,No,Yes,373
DVC-10046,host-384,192.168.239.129,Linux Ubuntu,Workstation,2024-05-24,CVE-2020-91265,2023-10-22,53699,8.8,880.0,No,No,No,254
DVC-10080,host-856,192.168.105.216,Windows 10,Workstation,2024-10-07,CVE-2016-22146,2023-12-03,62394,8.3,830.0,No,No,Yes,118
DVC-10153,host-759,192.168.93.244,macOS Ventura,Workstation,2024-11-26,CVE-2023-64127,2023-02-06,54667,2.2,110.0,Yes,No,Yes,68
DVC-10232,host-237,192.168.3.22,Windows 10,Workstation,2024-02-09,CVE-2023-64214,2023-04-10,31099,0.7,35.0,No,No,Yes,359
DVC-10035,host-784,192.168.122.225,Linux RHEL,Server,2024-07-01,CVE-2021-91540,2023-12-02,84975,8.8,880.0,Yes,Yes,Yes,216
DVC-10016,host-652,192.168.97.57,macOS Ventura,Workstation,2024-10-24,CVE-2016-17353,2023-12-29,21411,6.1,457.5,No,Yes,No,101
DVC-10489,host-189,192.168.28.162,Linux RHEL,Server,2024-05-23,CVE-2016-96091,2023-10-19,73579,3.5,175.0,Yes,Yes,No,255
DVC-10400,host-944,192.168.18.73,Windows 10,Workstation,2024-08-23,CVE-2017-43184,2023-04-01,91319,3.7,185.0,Yes,Yes,No,163
DVC-10033,host-603,192.168.15.107,Windows Server 2019,Server,2024-12-06,CVE-2018-56362,2023-09-02,95081,8.9,890.0,No,Yes,Yes,58
DVC-10459,host-636,192.168.202.73,macOS Ventura,Workstation,2024-09-20,CVE-2016-17353,2023-12-29,21411,6.1,457.5,No,Yes,Yes,135
DVC-10359,host-394,192.168.180.35,Linux Ubuntu,Workstation,2024-05-31,CVE-2021-56268,2023-11-21,72719,7.9,790.0,Yes,Yes,No,247
DVC-10106,host-911,192.168.0.233,macOS Ventura,Workstation,2024-02-01,CVE-2021-87424,2023-08-07,13459,0.4,20.0,No,No,No,367
DVC-10153,host-759,192.168.93.244,macOS Ventura,Workstation,2024-06-02,CVE-2023-46550,2023-06-21,37338,9.2,1150.0,Yes,Yes,No,245
DVC-10399,host-997,192.168.205.68,Windows 10,Workstation,2024-01-16,CVE-2015-37910,2023-10-19,64048,8.2,820.0,No,Yes,No,383
DVC-10116,host-781,192.168.6.233,Linux RHEL,Server,2024-05-09,CVE-2022-16528,2023-12-19,40896,9.7,1212.5,No,No,Yes,269
DVC-10104,host-724,192.168.97.64,Windows 10,Workstation,2024-10-07,CVE-2023-71990,2023-05-26,34836,7.2,720.0,Yes,No,Yes,118
DVC-10109,host-562,192.168.166.144,Linux Ubuntu,Workstation,2024-05-06,CVE-2017-53462,2023-10-20,15450,3.1,155.0,Yes,No,No,272
DVC-10159,host-458,192.168.0.192,Windows 10,Workstation,2024-04-04,CVE-2022-16528,2023-12-19,40896,9.7,1212.5,Yes,No,No,304
DVC-10216,host-749,192.168.19.187,Windows 10,Workstation,2024-07-18,CVE-2024-69853,2023-03-19,25251,8.9,890.0,No,No,No,199
DVC-10303,host-392,192.168.136.58,Linux Ubuntu,Workstation,2024-11-06,CVE-2018-78131,2023-08-22,36885,7.0,700.0,Yes,No,No,88
DVC-10311,host-405,192.168.64.124,Linux RHEL,Server,2024-09-25,CVE-2019-43640,2023-04-09,37464,6.8,510.0,No,No,No,130
DVC-10116,host-781,192.168.6.233,Linux RHEL,Server,2024-09-18,CVE-2023-23003,2023-09-30,24450,9.3,1162.5,Yes,Yes,Yes,137
DVC-10304,host-380,192.168.242.46,Linux Ubuntu,Workstation,2024-02-18,CVE-2022-34455,2023-08-12,70641,4.4,330.0,Yes,No,Yes,350
DVC-10064,host-854,192.168.136.214,Linux RHEL,Server,2024-10-03,CVE-2021-78661,2023-12-03,21967,2.0,100.0,No,No,No,122
DVC-10215,host-729,192.168.199.167,Linux RHEL,Server,2024-09-19,CVE-2024-99919,2023-07-11,55818,0.1,5.0,No,Yes,Yes,136
DVC-10224,host-173,192.168.70.165,Windows 10,Workstation,2024-06-11,CVE-2018-35620,2023-06-04,28914,7.4,740.0,No,No,No,236
DVC-10139,host-885,192.168.147.15,Linux Ubuntu,Workstation,2024-08-10,CVE-2019-5703,2023-04-29,49845,7.5,750.0,Yes,No,Yes,176
DVC-10214,host-253,192.168.62.205,Linux Ubuntu,Workstation,2024-05-13,CVE-2017-71893,2023-01-15,78212,0.5,25.0,No,Yes,No,265
DVC-10096,host-828,192.168.83.96,Linux RHEL,Server,2024-07-13,CVE-2015-89507,2023-01-29,92639,7.0,700.0,No,Yes,Yes,204
DVC-10251,host-153,192.168.107.6,Linux RHEL,Server,2024-02-03,CVE-2024-66733,2023-08-07,20972,9.4,1175.0,No,Yes,No,365
DVC-10408,host-962,192.168.20.227,Windows Server 2019,Server,2024-06-14,CVE-2024-44276,2023-08-15,88366,1.0,50.0,No,Yes,Yes,233
DVC-10128,host-174,192.168.54.205,Linux RHEL,Server,2024-04-13,CVE-2016-25931,2023-08-19,14291,6.9,517.5,No,No,Yes,295
DVC-10340,host-585,192.168.208.246,macOS Ventura,Workstation,2024-12-07,CVE-2021-8989,2023-04-15,49966,9.9,1237.5,No,Yes,Yes,57
DVC-10069,host-167,192.168.113.78,macOS Ventura,Workstation,2024-08-01,CVE-2016-2376,2023-03-07,12855,5.0,375.0,Yes,No,No,185
DVC-10174,host-402,192.168.246.223,Windows 10,Workstation,2024-05-14,CVE-2018-47018,2023-10-07,37888,0.4,20.0,No,No,No,264
DVC-10446,host-663,192.168.205.89,Windows Server 2019,Server,2024-04-27,CVE-2023-63510,2023-12-30,44031,4.1,307.5,Yes,Yes,Yes,281
DVC-10310,host-181,192.168.221.62,macOS Ventura,Workstation,2024-06-11,CVE-2016-10178,2023-08-21,10493,3.8,190.0,No,Yes,No,236
DVC-10101,host-278,192.168.91.201,Windows Server 2019,Server,2024-06-08,CVE-2019-26456,2023-10-19,32730,0.3,15.0,No,Yes,Yes,239
DVC-10344,host-523,192.168.100.61,macOS Ventura,Workstation,2024-10-18,CVE-2019-5703,2023-04-29,49845,7.5,750.0,Yes,Yes,No,107
DVC-10251,host-153,192.168.107.6,Linux RHEL,Server,2024-05-12,CVE-2015-89897,2023-12-05,62568,0.3,15.0,No,Yes,Yes,266
DVC-10327,host-445,192.168.70.226,Linux RHEL,Server,2024-01-17,CVE-2018-24061,2023-09-22,95581,5.7,427.5,No,Yes,No,382
DVC-10288,host-928,192.168.117.167,Linux RHEL,Server,2024-04-30,CVE-2022-75513,2023-09-02,84088,0.4,20.0,Yes,No,Yes,278
DVC-10082,host-495,192.168.29.91,Linux Ubuntu,Workstation,2024-01-14,CVE-2016-32077,2023-03-03,66178,4.8,360.0,No,No,No,385
DVC-10061,host-694,192.168.243.111,Windows 10,Workstation,2024-01-28,CVE-2018-64152,2023-04-19,20806,3.0,150.0,No,Yes,No,371
DVC-10052,host-410,192.168.64.138,Linux Ubuntu,Workstation,2024-08-26,CVE-2024-14543,2023-04-07,80900,8.9,890.0,No,No,Yes,160
DVC-10114,host-425,192.168.191.133,Windows 10,Workstation,2024-01-03,CVE-2022-17293,2023-07-19,68279,2.7,135.0,No,No,No,396
DVC-10299,host-227,192.168.9.161,Windows 10,Workstation,2024-07-13,CVE-2020-92159,2023-06-12,87965,8.3,830.0,No,No,No,204
DVC-10211,host-928,192.168.166.242,Windows 10,Workstation,2024-11-28,CVE-2024-95050,2023-09-23,18099,2.6,130.0,Yes,Yes,Yes,66
DVC-10288,host-928,192.168.117.167,Linux RHEL,Server,2024-08-05,CVE-2023-73150,2023-01-01,35920,9.1,1137.5,Yes,Yes,Yes,181
DVC-10211,host-928,192.168.166.242,Windows 10,Workstation,2024-04-23,CVE-2016-79262,2023-01-15,98252,0.4,20.0,No,Yes,No,285
DVC-10021,host-484,192.168.30.20,Windows 10,Workstation,2024-07-04,CVE-2022-92034,2023-07-30,81413,6.3,472.5,Yes,No,Yes,213
DVC-10084,host-206,192.168.56.95,Linux RHEL,Server,2024-09-08,CVE-2020-94067,2023-09-24,19558,4.0,300.0,No,Yes,No,147
DVC-10164,host-175,192.168.7.247,Windows Server 2019,Server,2024-04-21,CVE-2017-87434,2023-10-02,10879,4.5,337.5,Yes,No,No,287
DVC-10221,host-315,192.168.15.251,Linux RHEL,Server,2024-01-25,CVE-2024-86767,2023-07-01,58891,8.0,800.0,Yes,Yes,Yes,374
DVC-10462,host-829,192.168.90.4,macOS Ventura,Workstation,2024-11-11,CVE-2019-29498,2023-12-02,98862,1.6,80.0,No,No,Yes,83
DVC-10101,host-278,192.168.91.201,Windows Server 2019,Server,2024-09-25,CVE-2024-66733,2023-08-07,20972,9.4,1175.0,Yes,Yes,Yes,130
DVC-10195,host-736,192.168.115.63,macOS Ventura,Workstation,2024-07-18,CVE-2018-39433,2023-12-20,99674,5.7,427.5,No,Yes,Yes,199
DVC-10057,host-215,192.168.85.92,Windows 10,Workstation,2024-06-13,CVE-2023-64127,2023-02-06,54667,2.2,110.0,Yes,No,No,234
DVC-10182,host-677,192.168.36.125,Linux Ubuntu,Workstation,2024-07-02,CVE-2022-6258,2023-02-27,39885,3.1,155.0,No,Yes,No,215
DVC-10372,host-891,192.168.111.177,macOS Ventura,Workstation,2024-01-23,CVE-2019-41931,2023-03-12,54580,7.3,730.0,Yes,No,Yes,376
DVC-10004,host-371,192.168.168.15,Windows Server 2019,Server,2024-01-31,CVE-2016-40744,2023-04-18,21201,8.9,890.0,No,No,No,368
DVC-10408,host-962,192.168.20.227,Windows Server 2019,Server,2024-02-03,CVE-2022-16528,2023-12-19,40896,9.7,1212.5,Yes,No,Yes,365
DVC-10443,host-104,192.168.236.56,Linux Ubuntu,Workstation,2024-01-28,CVE-2016-48154,2023-03-20,35416,1.1,55.0,No,Yes,No,371
DVC-10139,host-885,192.168.147.15,Linux Ubuntu,Workstation,2024-04-20,CVE-2019-42372,2023-05-21,77507,4.2,315.0,Yes,No,No,288
